R=30001, TT=StCr, NTX=25, TB=1748703444.65s, D=0.25s
R=30002, TT=StCr, NTX=25, TB=1748703446.86s, D=0.26s
R=30003, TT=StCr, NTX=25, TB=1748703448.97s, D=0.30s
R=30004, TT=StCr, NTX=25, TB=1748703451.32s, D=0.19s
R=30005, TT=StCr, NTX=25, TB=1748703453.43s, D=0.17s
R=30006, TT=StCr, NTX=25, TB=1748703455.63s, D=0.20s
R=30007, TT=StCr, NTX=25, TB=1748703457.96s, D=0.24s
R=30008, TT=StCr, NTX=25, TB=1748703460.26s, D=0.25s
R=30009, TT=StCr, NTX=25, TB=1748703462.37s, D=0.16s
R=30010, TT=StCr, NTX=25, TB=1748703464.61s, D=0.19s
R=30011, TT=StCr, NTX=25, TB=1748703466.84s, D=0.27s
R=30012, TT=StCr, NTX=25, TB=1748703468.93s, D=0.21s
R=30013, TT=StCr, NTX=25, TB=1748703471.08s, D=0.16s
R=30014, TT=StCr, NTX=25, TB=1748703473.15s, D=0.16s
R=30015, TT=StCr, NTX=25, TB=1748703475.55s, D=0.24s
R=30016, TT=StCr, NTX=25, TB=1748703477.79s, D=0.21s
R=30017, TT=StCr, NTX=25, TB=1748703479.97s, D=0.24s
R=30018, TT=StCr, NTX=25, TB=1748703482.26s, D=0.46s
R=30019, TT=StCr, NTX=25, TB=1748703484.69s, D=0.18s
R=30020, TT=StCr, NTX=25, TB=1748703486.99s, D=0.29s
R=30021, TT=StCr, NTX=25, TB=1748703489.27s, D=0.19s
R=30022, TT=StCr, NTX=25, TB=1748703491.54s, D=0.23s
R=30023, TT=StCr, NTX=25, TB=1748703493.83s, D=0.28s
R=30024, TT=StCr, NTX=25, TB=1748703496.03s, D=0.24s
R=30025, TT=StCr, NTX=25, TB=1748703498.29s, D=0.27s
R=30026, TT=StCr, NTX=25, TB=1748703500.48s, D=0.24s
R=30027, TT=StCr, NTX=25, TB=1748703502.53s, D=0.17s
R=30028, TT=StCr, NTX=25, TB=1748703504.91s, D=0.28s
R=30029, TT=StCr, NTX=25, TB=1748703506.93s, D=0.17s
R=30030, TT=StCr, NTX=25, TB=1748703509.85s, D=0.18s
R=30031, TT=StCr, NTX=25, TB=1748703511.80s, D=0.28s
R=30032, TT=StCr, NTX=25, TB=1748703514.02s, D=0.27s
R=30033, TT=StCr, NTX=25, TB=1748703516.16s, D=0.20s
R=30034, TT=StCr, NTX=25, TB=1748703518.45s, D=0.29s
R=30035, TT=StCr, NTX=25, TB=1748703520.63s, D=0.26s
R=30036, TT=StCr, NTX=25, TB=1748703522.72s, D=0.20s
R=30037, TT=StCr, NTX=25, TB=1748703524.94s, D=0.26s
R=30038, TT=StCr, NTX=25, TB=1748703527.15s, D=0.26s
R=30039, TT=StCr, NTX=25, TB=1748703529.30s, D=0.21s
R=30040, TT=StCr, NTX=25, TB=1748703531.24s, D=0.14s
R=30041, TT=StCr, NTX=25, TB=1748703533.71s, D=0.27s
R=30042, TT=StCr, NTX=25, TB=1748703535.94s, D=0.45s
R=30043, TT=StCr, NTX=25, TB=1748703538.29s, D=0.26s
R=30044, TT=StCr, NTX=25, TB=1748703540.43s, D=0.25s
R=30045, TT=StCr, NTX=25, TB=1748703542.62s, D=0.25s
R=30046, TT=StCr, NTX=25, TB=1748703545.04s, D=0.29s
R=30047, TT=StCr, NTX=25, TB=1748703547.14s, D=0.17s
R=30048, TT=StCr, NTX=25, TB=1748703549.64s, D=0.20s
R=30049, TT=StCr, NTX=25, TB=1748703551.87s, D=0.30s
R=30050, TT=StCr, NTX=25, TB=1748703554.10s, D=0.27s
R=30051, TT=StCr, NTX=25, TB=1748703556.20s, D=0.22s
R=30052, TT=StCr, NTX=25, TB=1748703558.50s, D=0.28s
R=30053, TT=StCr, NTX=25, TB=1748703560.73s, D=0.27s
R=30054, TT=StCr, NTX=25, TB=1748703562.81s, D=0.17s
R=30055, TT=StCr, NTX=25, TB=1748703564.95s, D=0.16s
R=30056, TT=StCr, NTX=25, TB=1748703567.22s, D=0.17s
R=30057, TT=StCr, NTX=25, TB=1748703569.83s, D=0.28s
R=30058, TT=StCr, NTX=25, TB=1748703571.60s, D=0.16s
R=30059, TT=StCr, NTX=25, TB=1748703574.04s, D=0.26s
R=30060, TT=StCr, NTX=25, TB=1748703576.21s, D=0.28s
R=30061, TT=StCr, NTX=25, TB=1748703578.41s, D=0.29s
R=30062, TT=StCr, NTX=25, TB=1748703580.47s, D=0.16s
