R=90001, TT=TinTrOw, NTX=5, TB=1748839921.36s, D=0.19s
R=90001, TT=TinCr, NTX=8, TB=1748839921.55s, D=0.33s
R=90002, TT=TinTrOw, NTX=5, TB=1748839923.54s, D=0.13s
R=90002, TT=TinCr, NTX=13, TB=1748839923.67s, D=0.23s
R=90003, TT=TinTrOw, NTX=5, TB=1748839926.16s, D=0.19s
R=90003, TT=TinCr, NTX=13, TB=1748839926.35s, D=0.26s
R=90004, TT=TinTrOw, NTX=5, TB=1748839928.68s, D=0.17s
R=90004, TT=TinCr, NTX=11, TB=1748839928.85s, D=0.24s
R=90005, TT=TinTrOw, NTX=5, TB=1748839931.04s, D=0.18s
R=90005, TT=TinCr, NTX=10, TB=1748839931.22s, D=0.23s
R=90006, TT=TinTrOw, NTX=5, TB=1748839933.26s, D=0.18s
R=90006, TT=TinCr, NTX=12, TB=1748839933.44s, D=0.24s
R=90007, TT=TinTrOw, NTX=5, TB=1748839935.61s, D=0.19s
R=90007, TT=TinCr, NTX=12, TB=1748839935.80s, D=0.20s
R=90008, TT=TinTrOw, NTX=5, TB=1748839937.84s, D=0.19s
R=90008, TT=TinCr, NTX=11, TB=1748839938.03s, D=0.22s
R=90009, TT=TinTrOw, NTX=5, TB=1748839940.00s, D=0.18s
R=90009, TT=TinCr, NTX=11, TB=1748839940.18s, D=0.25s
R=90010, TT=TinTrOw, NTX=5, TB=1748839942.34s, D=0.19s
R=90010, TT=TinCr, NTX=10, TB=1748839942.53s, D=0.27s
R=90011, TT=TinTrOw, NTX=5, TB=1748839944.73s, D=0.17s
R=90011, TT=TinCr, NTX=10, TB=1748839944.90s, D=0.34s
R=90012, TT=TinTrOw, NTX=5, TB=1748839946.99s, D=0.19s
R=90012, TT=TinCr, NTX=11, TB=1748839947.19s, D=0.24s
R=90013, TT=TinTrOw, NTX=5, TB=1748839949.08s, D=0.14s
R=90013, TT=TinCr, NTX=11, TB=1748839949.22s, D=0.23s
R=90014, TT=TinTrOw, NTX=5, TB=1748839951.46s, D=0.18s
R=90014, TT=TinCr, NTX=10, TB=1748839951.64s, D=0.31s
R=90015, TT=TinTrOw, NTX=5, TB=1748839953.71s, D=0.19s
R=90015, TT=TinCr, NTX=12, TB=1748839953.90s, D=0.32s
R=90016, TT=TinTrOw, NTX=5, TB=1748839956.02s, D=0.23s
R=90016, TT=TinCr, NTX=10, TB=1748839956.25s, D=0.22s
R=90017, TT=TinTrOw, NTX=5, TB=1748839958.25s, D=0.19s
R=90017, TT=TinCr, NTX=7, TB=1748839958.44s, D=0.21s
R=90018, TT=TinTrOw, NTX=5, TB=1748839960.57s, D=0.20s
R=90018, TT=TinCr, NTX=11, TB=1748839960.77s, D=0.21s
R=90019, TT=TinTrOw, NTX=5, TB=1748839962.68s, D=0.16s
R=90019, TT=TinCr, NTX=7, TB=1748839962.84s, D=0.18s
R=90020, TT=TinTrOw, NTX=5, TB=1748839964.96s, D=0.18s
R=90020, TT=TinCr, NTX=10, TB=1748839965.14s, D=0.31s
R=90021, TT=TinTrOw, NTX=5, TB=1748839967.44s, D=0.19s
R=90021, TT=TinCr, NTX=10, TB=1748839967.63s, D=0.21s
R=90022, TT=TinTrOw, NTX=5, TB=1748839969.64s, D=0.18s
R=90022, TT=TinCr, NTX=8, TB=1748839969.82s, D=0.26s
R=90023, TT=TinTrOw, NTX=5, TB=1748839971.92s, D=0.17s
R=90023, TT=TinCr, NTX=9, TB=1748839972.10s, D=0.25s
R=90024, TT=TinTrOw, NTX=5, TB=1748839974.24s, D=0.19s
R=90024, TT=TinCr, NTX=10, TB=1748839974.43s, D=0.27s
R=90025, TT=TinTrOw, NTX=5, TB=1748839976.55s, D=0.18s
R=90025, TT=TinCr, NTX=10, TB=1748839976.73s, D=0.32s
R=90026, TT=TinTrOw, NTX=5, TB=1748839978.78s, D=0.19s
R=90026, TT=TinCr, NTX=11, TB=1748839978.98s, D=0.28s
R=90027, TT=TinTrOw, NTX=5, TB=1748839981.08s, D=0.22s
R=90027, TT=TinCr, NTX=7, TB=1748839981.30s, D=0.28s
R=90028, TT=TinTrOw, NTX=5, TB=1748839983.31s, D=0.20s
R=90028, TT=TinCr, NTX=12, TB=1748839983.52s, D=0.26s
R=90029, TT=TinTrOw, NTX=5, TB=1748839985.80s, D=0.23s
R=90029, TT=TinCr, NTX=12, TB=1748839986.03s, D=0.23s
R=90030, TT=TinTrOw, NTX=5, TB=1748839988.19s, D=0.18s
R=90030, TT=TinCr, NTX=10, TB=1748839988.37s, D=0.24s
R=90031, TT=TinTrOw, NTX=5, TB=1748839990.49s, D=0.19s
R=90031, TT=TinCr, NTX=12, TB=1748839990.68s, D=0.29s
R=90032, TT=TinTrOw, NTX=5, TB=1748839992.74s, D=0.20s
R=90032, TT=TinCr, NTX=14, TB=1748839992.94s, D=0.28s
R=90033, TT=TinTrOw, NTX=5, TB=1748839994.90s, D=0.17s
R=90033, TT=TinCr, NTX=9, TB=1748839995.07s, D=0.22s
R=90034, TT=TinTrOw, NTX=5, TB=1748839997.17s, D=0.19s
R=90034, TT=TinCr, NTX=11, TB=1748839997.36s, D=0.25s
R=90035, TT=TinTrOw, NTX=5, TB=1748839999.48s, D=0.21s
R=90035, TT=TinCr, NTX=11, TB=1748839999.69s, D=0.29s
R=90036, TT=TinTrOw, NTX=5, TB=1748840001.72s, D=0.20s
R=90036, TT=TinCr, NTX=12, TB=1748840001.92s, D=0.25s
R=90037, TT=TinTrOw, NTX=5, TB=1748840004.06s, D=0.20s
R=90037, TT=TinCr, NTX=11, TB=1748840004.26s, D=0.30s
R=90038, TT=TinTrOw, NTX=5, TB=1748840006.29s, D=0.19s
R=90038, TT=TinCr, NTX=10, TB=1748840006.48s, D=0.21s
R=90039, TT=TinTrOw, NTX=5, TB=1748840008.52s, D=0.14s
R=90039, TT=TinCr, NTX=8, TB=1748840008.66s, D=0.22s
R=90040, TT=TinTrOw, NTX=5, TB=1748840010.89s, D=0.20s
R=90040, TT=TinCr, NTX=7, TB=1748840011.09s, D=0.20s
R=90041, TT=TinTrOw, NTX=5, TB=1748840013.17s, D=0.19s
R=90041, TT=TinCr, NTX=8, TB=1748840013.36s, D=0.27s
R=90042, TT=TinTrOw, NTX=5, TB=1748840015.42s, D=0.19s
R=90042, TT=TinCr, NTX=11, TB=1748840015.61s, D=0.36s
R=90043, TT=TinTrOw, NTX=5, TB=1748840017.49s, D=0.13s
