R=90001, TT=RebTrOw, NTX=20, TB=1748839921.32s, D=0.26s
R=90001, TT=RebCr, NTX=68, TB=1748839921.58s, D=0.39s
R=90002, TT=RebTrOw, NTX=20, TB=1748839923.57s, D=0.22s
R=90002, TT=RebCr, NTX=69, TB=1748839923.80s, D=0.49s
R=90003, TT=RebTrOw, NTX=20, TB=1748839926.70s, D=0.16s
R=90003, TT=RebCr, NTX=55, TB=1748839926.86s, D=0.22s
R=90004, TT=RebTrOw, NTX=20, TB=1748839928.74s, D=0.26s
R=90004, TT=RebCr, NTX=59, TB=1748839929.00s, D=0.43s
R=90005, TT=RebTrOw, NTX=20, TB=1748839931.05s, D=0.29s
R=90005, TT=RebCr, NTX=48, TB=1748839931.35s, D=0.31s
R=90006, TT=RebTrOw, NTX=20, TB=1748839933.24s, D=0.25s
R=90006, TT=RebCr, NTX=72, TB=1748839933.49s, D=0.38s
R=90007, TT=RebTrOw, NTX=20, TB=1748839935.61s, D=0.27s
R=90007, TT=RebCr, NTX=64, TB=1748839935.88s, D=0.37s
R=90008, TT=RebTrOw, NTX=20, TB=1748839937.85s, D=0.27s
R=90008, TT=RebCr, NTX=56, TB=1748839938.12s, D=0.35s
R=90009, TT=RebTrOw, NTX=20, TB=1748839940.10s, D=0.27s
R=90009, TT=RebCr, NTX=54, TB=1748839940.37s, D=0.39s
R=90010, TT=RebTrOw, NTX=20, TB=1748839942.39s, D=0.31s
R=90010, TT=RebCr, NTX=61, TB=1748839942.70s, D=0.36s
R=90011, TT=RebTrOw, NTX=20, TB=1748839944.75s, D=0.25s
R=90011, TT=RebCr, NTX=54, TB=1748839945.00s, D=0.36s
R=90012, TT=RebTrOw, NTX=20, TB=1748839946.96s, D=0.30s
R=90012, TT=RebCr, NTX=66, TB=1748839947.26s, D=0.38s
R=90013, TT=RebTrOw, NTX=20, TB=1748839949.24s, D=0.36s
R=90013, TT=RebCr, NTX=56, TB=1748839949.60s, D=0.30s
R=90014, TT=RebTrOw, NTX=20, TB=1748839951.39s, D=0.21s
R=90014, TT=RebCr, NTX=58, TB=1748839951.60s, D=0.37s
R=90015, TT=RebTrOw, NTX=20, TB=1748839953.77s, D=0.26s
R=90015, TT=RebCr, NTX=66, TB=1748839954.03s, D=0.37s
R=90016, TT=RebTrOw, NTX=20, TB=1748839956.00s, D=0.35s
R=90016, TT=RebCr, NTX=66, TB=1748839956.35s, D=0.36s
R=90017, TT=RebTrOw, NTX=20, TB=1748839958.28s, D=0.25s
R=90017, TT=RebCr, NTX=54, TB=1748839958.53s, D=0.42s
R=90018, TT=RebTrOw, NTX=20, TB=1748839960.52s, D=0.26s
R=90018, TT=RebCr, NTX=64, TB=1748839960.77s, D=0.35s
R=90019, TT=RebTrOw, NTX=20, TB=1748839962.73s, D=0.27s
R=90019, TT=RebCr, NTX=59, TB=1748839963.00s, D=0.37s
R=90020, TT=RebTrOw, NTX=20, TB=1748839964.95s, D=0.28s
R=90020, TT=RebCr, NTX=63, TB=1748839965.23s, D=0.37s
R=90021, TT=RebTrOw, NTX=20, TB=1748839967.44s, D=0.26s
R=90021, TT=RebCr, NTX=57, TB=1748839967.70s, D=0.30s
R=90022, TT=RebTrOw, NTX=20, TB=1748839969.56s, D=0.20s
R=90022, TT=RebCr, NTX=64, TB=1748839969.75s, D=0.39s
R=90023, TT=RebTrOw, NTX=20, TB=1748839971.97s, D=0.33s
R=90023, TT=RebCr, NTX=63, TB=1748839972.30s, D=0.33s
R=90024, TT=RebTrOw, NTX=20, TB=1748839974.22s, D=0.25s
R=90024, TT=RebCr, NTX=72, TB=1748839974.48s, D=0.49s
R=90025, TT=RebTrOw, NTX=20, TB=1748839976.42s, D=0.20s
